experimento,umbral_confianza,archivos_labels,labels_sin_geotiff,lineas_malformadas,detecciones_brutas,detecciones_unicas,detecciones_eliminadas,porcentaje_eliminado,detecciones_altura_valida,altura_p95_media_m,altura_p95_mediana_m,altura_p95_min_m,altura_p95_max_m,ruta_csv_unicas,ruta_resumen
conf010,0.1,180,0,0,108549,79077,29472,27.150871956443634,61412,8.947062752079608,9.622066974639893,2.0,36.40687561035156,outputs/georeferencing/conf010/detecciones_unicas_conf010.csv,outputs/georeferencing/conf010/resumen_conf010.txt
conf015,0.15,179,0,0,87989,67030,20959,23.820022957415134,51719,8.854743489312076,9.549267768859863,2.0,36.40687561035156,outputs/georeferencing/conf015/detecciones_unicas_conf015.csv,outputs/georeferencing/conf015/resumen_conf015.txt
conf020,0.2,179,0,0,75316,58695,16621,22.06835201019704,45045,8.789804984949209,9.486291885375977,2.0001220703125,36.40687561035156,outputs/georeferencing/conf020/detecciones_unicas_conf020.csv,outputs/georeferencing/conf020/resumen_conf020.txt
conf025,0.25,179,0,0,66046,52128,13918,21.07319141204615,39863,8.73617191623075,9.440210342407227,2.0001220703125,36.40687561035156,outputs/georeferencing/conf025/detecciones_unicas_conf025.csv,outputs/georeferencing/conf025/resumen_conf025.txt
