experimento,umbral_confianza,recorte_analisis,fila,columna,x_centro_utm,y_centro_utm,xmin_utm,ymin_utm,xmax_utm,ymax_utm,area_total_ha,area_arbolada_ha,porcentaje_arbolado,area_altura_2_5_ha,area_altura_5_10_ha,area_altura_10_15_ha,area_altura_15_20_ha,area_altura_20_30_ha,area_altura_30_40_ha,detecciones_unicas,detecciones_altura_valida,detecciones_usadas_biomasa,detecciones_excluidas_biomasa,confianza_media,altura_p95_media_m,altura_p95_mediana_m,altura_p95_min_m,altura_p95_max_m,diametro_copa_medio_m,diametro_copa_mediano_m,biomasa_gimnosperma_t,biomasa_angiosperma_t,biomasa_gimnosperma_t_ha_total,biomasa_angiosperma_t_ha_total,biomasa_gimnosperma_t_ha_arbolada,biomasa_angiosperma_t_ha_arbolada,detecciones_ha_total,detecciones_ha_arbolada
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_01,1,1,508228.0,4182877.0,508000.0,4182754.0,508456.0,4183000.0,11.2176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,0,0,641,0.36786666302652105,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_02,1,2,508672.0,4182877.0,508456.0,4182754.0,508888.0,4183000.0,10.6272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,0,0,325,0.35228772,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_03,1,3,509104.0,4182877.0,508888.0,4182754.0,509320.0,4183000.0,10.6272,2.446,23.01641071966275,1.322,0.8028,0.2737,0.0474,0.0001,0.0,413,266,264,149,0.3624878813559322,9.161118191883975,8.084094524383545,2.2777557373046875,18.607873916625977,9.63910164679941,8.97822906034454,105.22833668471289,45.0301407554955,9.901793199028237,4.237253533903145,43.02057918426528,18.409705950734054,24.841915085817526,107.9313164349959
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_04,1,4,509536.0,4182877.0,509320.0,4182754.0,509752.0,4183000.0,10.6272,4.5322,42.647169527250824,2.2391,1.9108,0.3588,0.0235,0.0,0.0,423,421,421,2,0.31496801891252957,9.847370806895638,9.702047348022461,2.2281463146209717,16.881317138671875,9.50045352331637,9.143667718583192,173.28755031451865,72.71032857099806,16.306040190691682,6.841908364479642,38.234753610722976,16.043053830589574,39.61532670882264,92.8908697762676
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_05,1,5,509968.0,4182877.0,509752.0,4182754.0,510184.0,4183000.0,10.6272,5.4506,51.2891448358928,1.9199,2.6799,0.7993,0.0515,0.0,0.0,538,536,535,3,0.315483936802974,11.088071146118107,11.468853950500488,2.1642730236053467,18.508819580078125,8.536130903024281,8.262827919135475,228.0011769697889,95.95661402070306,21.454491961174053,9.029341126609365,41.83047315337558,17.604780028015828,50.34251731406203,98.1543316332147
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_06,1,6,510400.0,4182877.0,510184.0,4182754.0,510616.0,4183000.0,10.6272,5.0543,47.56003462812405,2.0551,2.195,0.7519,0.052,0.0003,0.0,541,536,534,7,0.34756121626617376,10.866324248598582,11.521270751953125,2.3735198974609375,18.38623046875,8.991605112191557,8.455753933500635,229.44711521922457,96.53252276435636,21.590552094552145,9.083533081560182,45.39641794496262,19.099088452279517,50.248419150858176,105.65261262687218
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_07,1,7,510832.0,4182877.0,510616.0,4182754.0,511048.0,4183000.0,10.6272,2.1389,20.126656127672387,1.6196,0.5025,0.0167,0.0001,0.0,0.0,373,316,316,57,0.38370499463806973,5.315265689469591,5.27056884765625,2.0010986328125,12.887603759765625,8.959813762556673,8.756726950147616,48.38794687467686,18.53428095005417,4.553216922112773,1.7440417937042845,22.622818680011623,8.665333091801473,29.735019572417947,147.73949226237787
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_08,1,8,511264.0,4182877.0,511048.0,4182754.0,511480.0,4183000.0,10.6272,0.4439,4.177017464619091,0.3639,0.0781,0.0019,0.0,0.0,0.0,544,359,359,185,0.47004838235294116,2.5655604783538988,2.315277099609375,2.0023193359375,10.327545166015625,6.48475772780335,6.193502173128242,10.281076313844293,3.569623048038739,0.9674303968914006,0.335894972150589,23.160793678405707,8.041502698893307,33.78124059018368,808.7407073665239
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_09,1,9,511696.0,4182877.0,511480.0,4182754.0,511912.0,4183000.0,10.6272,0.3466,3.261442336645589,0.3381,0.0085,0.0,0.0,0.0,0.0,766,478,478,288,0.43719812140992165,2.399682913864008,2.308496117591858,2.000244140625,7.4449462890625,5.85686433477587,5.69008426830724,6.567967768625919,1.8168373053480087,0.6180337030098162,0.1709610532734877,18.949705045083434,5.241884897137936,44.978922011442336,1379.1113675706865
conf010,0.1,PNOA_area_LiDAR_508000_4179000_512000_4183000_01_10,1,10,511956.0,4182877.0,511912.0,4182754.0,512000.0,4183000.0,2.1648,0.0879,4.060421286031042,0.0879,0.0,0.0,0.0,0.0,0.0,317,165,165,152,0.6008621703470032,2.419689161127264,2.36566162109375,2.0006103515625,3.43353271484375,5.466563627118432,5.408261313370515,1.937284055863725,0.5131522089119819,0.8949020952807303,0.237043703303761,22.039636585480373,5.837909088873514,76.21951219512195,1877.1331058020476
